,Neighborhood,Exterior1st,Exterior2nd,SalePrice
215,NAmes,HdBoard,HdBoard,134450
216,CollgCr,VinylSd,VinylSd,210000
217,OldTown,MetalSd,MetalSd,107000
218,Crawfor,VinylSd,VinylSd,311500
219,Blmngtn,VinylSd,VinylSd,167240
220,CollgCr,VinylSd,VinylSd,204900
221,Gilbert,VinylSd,VinylSd,200000
222,NWAmes,VinylSd,VinylSd,179900
223,NAmes,HdBoard,HdBoard,97000
224,NridgHt,VinylSd,VinylSd,386250
225,BrDale,HdBoard,HdBoard,112000
226,NoRidge,VinylSd,VinylSd,290000
227,BrDale,HdBoard,HdBoard,106000
228,Sawyer,HdBoard,HdBoard,125000
229,Blmngtn,VinylSd,VinylSd,192500
230,NAmes,MetalSd,MetalSd,148000
231,NoRidge,VinylSd,VinylSd,403000
232,BrDale,HdBoard,HdBoard,94500
233,CollgCr,HdBoard,HdBoard,128200
234,Gilbert,VinylSd,VinylSd,216500
235,BrDale,HdBoard,HdBoard,89500
236,CollgCr,VinylSd,VinylSd,185500
237,SawyerW,HdBoard,HdBoard,194500
238,NridgHt,VinylSd,VinylSd,318000
239,Edwards,VinylSd,VinylSd,113000
240,Somerst,VinylSd,VinylSd,262500
241,OldTown,VinylSd,VinylSd,110500
242,OldTown,Wd Sdng,Wd Sdng,79000
243,SawyerW,Plywood,Plywood,120000
244,SawyerW,VinylSd,VinylSd,205000
245,NWAmes,Wd Sdng,Wd Sdng,241500
246,OldTown,AsbShng,AsbShng,137000
247,NAmes,Wd Sdng,BrkFace,140000
248,CollgCr,VinylSd,VinylSd,180000
249,ClearCr,Wd Sdng,HdBoard,277000
250,BrkSide,Wd Sdng,Plywood,76500
251,Crawfor,VinylSd,VinylSd,235000
252,SawyerW,VinylSd,VinylSd,173000
253,NAmes,HdBoard,HdBoard,158000
254,NAmes,MetalSd,MetalSd,145000
255,Gilbert,VinylSd,VinylSd,230000
256,Somerst,VinylSd,VinylSd,207500
257,CollgCr,VinylSd,VinylSd,220000
258,CollgCr,VinylSd,VinylSd,231500
259,OldTown,BrkFace,BrkFace,97000
260,NAmes,Wd Sdng,Wd Sdng,176000
261,CollgCr,CemntBd,CmentBd,276000
262,Sawyer,HdBoard,Plywood,151000
263,OldTown,Wd Sdng,Wd Sdng,130000
264,OldTown,Wd Sdng,Wd Sdng,73000
265,NWAmes,MetalSd,MetalSd,175500
266,Gilbert,VinylSd,VinylSd,185000
267,SWISU,Wd Sdng,Wd Sdng,179500
268,IDOTRR,VinylSd,VinylSd,120500
269,Edwards,HdBoard,HdBoard,148000
270,Somerst,VinylSd,VinylSd,266000
271,ClearCr,Plywood,Plywood,241500
272,NoRidge,VinylSd,VinylSd,290000
273,NAmes,Wd Sdng,Wd Sdng,139000
274,Mitchel,HdBoard,ImStucc,124500
275,BrkSide,Wd Sdng,Wd Sdng,205000
276,Mitchel,VinylSd,VinylSd,201000
277,Gilbert,VinylSd,VinylSd,141000
278,NridgHt,CemntBd,CmentBd,415298
279,ClearCr,Plywood,Plywood,192000
280,SawyerW,Plywood,Plywood,228500
281,Somerst,VinylSd,VinylSd,185000
282,NridgHt,VinylSd,VinylSd,207500
283,Somerst,VinylSd,VinylSd,244600
284,SawyerW,Plywood,ImStucc,179200
285,Somerst,MetalSd,MetalSd,164700
286,NAmes,Wd Sdng,Wd Sdng,159000
287,NAmes,HdBoard,HdBoard,88000
288,Sawyer,MetalSd,MetalSd,122000
289,BrkSide,Wd Sdng,Wd Sdng,153575
290,CollgCr,VinylSd,VinylSd,233230
291,SWISU,VinylSd,VinylSd,135900
292,Edwards,Wd Sdng,Wd Sdng,131000
293,NWAmes,Plywood,Plywood,235000
294,NAmes,HdBoard,HdBoard,167000
295,Mitchel,HdBoard,HdBoard,142500
296,IDOTRR,Wd Sdng,Wd Sdng,152000
297,Somerst,VinylSd,VinylSd,239000
298,NWAmes,HdBoard,AsphShn,175000
299,Crawfor,HdBoard,HdBoard,158500
300,Crawfor,MetalSd,MetalSd,157000
301,CollgCr,VinylSd,VinylSd,267000
302,CollgCr,VinylSd,VinylSd,205000
303,CollgCr,VinylSd,VinylSd,149900
304,OldTown,CemntBd,CmentBd,295000
305,CollgCr,CemntBd,CmentBd,305900
306,SawyerW,HdBoard,Plywood,225000
307,IDOTRR,MetalSd,MetalSd,89500
308,Edwards,VinylSd,VinylSd,82500
309,NridgHt,VinylSd,VinylSd,360000
310,Gilbert,HdBoard,HdBoard,165600
311,NAmes,VinylSd,VinylSd,132000
312,OldTown,MetalSd,MetalSd,119900
313,Timber,BrkFace,BrkFace,375000
314,OldTown,Wd Sdng,Wd Sdng,178000
315,Gilbert,VinylSd,VinylSd,188500
316,NWAmes,CemntBd,CmentBd,260000
317,Somerst,VinylSd,VinylSd,270000
318,NoRidge,HdBoard,HdBoard,260000
319,NWAmes,Plywood,Plywood,187500
320,NridgHt,VinylSd,VinylSd,342643
321,NridgHt,VinylSd,VinylSd,354000
322,SawyerW,Plywood,Plywood,301000
323,OldTown,VinylSd,VinylSd,126175
324,NAmes,Wd Sdng,Wd Sdng,242000
325,IDOTRR,MetalSd,MetalSd,87000
326,Veenker,BrkFace,BrkFace,324000
327,NAmes,Wd Sdng,Wd Sdng,145250
328,BrkSide,Wd Sdng,Wd Shng,214500
329,IDOTRR,Wd Sdng,Wd Shng,78000
330,NAmes,HdBoard,HdBoard,119000
331,NAmes,Wd Sdng,Wd Sdng,139000
332,NridgHt,VinylSd,VinylSd,284000
333,NridgHt,VinylSd,VinylSd,207000
334,Gilbert,VinylSd,VinylSd,192000
335,Timber,Plywood,Plywood,228950
336,StoneBr,VinylSd,VinylSd,377426
337,CollgCr,VinylSd,VinylSd,214000
338,NWAmes,Wd Sdng,Wd Sdng,202500
339,NAmes,Wd Sdng,Wd Sdng,155000
340,Timber,VinylSd,VinylSd,202900
341,SawyerW,Wd Sdng,AsbShng,82000
342,NAmes,Stucco,Stucco,87500
343,NridgHt,MetalSd,MetalSd,266000
344,MeadowV,CemntBd,CmentBd,85000
345,BrkSide,MetalSd,MetalSd,140200
346,NAmes,MetalSd,MetalSd,151500
347,NAmes,Wd Sdng,Wd Sdng,157500
348,NridgHt,VinylSd,Wd Shng,154000
349,NridgHt,CemntBd,CmentBd,437154
350,NridgHt,MetalSd,MetalSd,318061
351,ClearCr,Wd Sdng,Wd Sdng,190000
352,Edwards,VinylSd,VinylSd,95000
353,OldTown,VinylSd,VinylSd,105900
354,SWISU,Wd Sdng,MetalSd,140000
355,CollgCr,VinylSd,VinylSd,177500
356,Gilbert,HdBoard,HdBoard,173000
357,MeadowV,CemntBd,CmentBd,134000
358,ClearCr,Wd Sdng,ImStucc,130000
359,NoRidge,VinylSd,VinylSd,280000
360,Mitchel,VinylSd,VinylSd,156000
361,BrkSide,MetalSd,MetalSd,145000
362,Edwards,HdBoard,HdBoard,198500
363,BrDale,HdBoard,HdBoard,118000
364,NWAmes,HdBoard,HdBoard,190000
365,IDOTRR,VinylSd,VinylSd,147000
366,NAmes,Plywood,Plywood,159000
367,NAmes,Plywood,Plywood,165000
368,NAmes,HdBoard,HdBoard,132000
369,NAmes,Wd Sdng,Wd Sdng,162000
370,Gilbert,VinylSd,VinylSd,172400
371,ClearCr,WdShing,Plywood,134432
372,SawyerW,Plywood,Plywood,125000
373,NAmes,MetalSd,MetalSd,123000
374,CollgCr,VinylSd,VinylSd,219500
375,Edwards,Wd Sdng,Wd Sdng,61000
376,CollgCr,VinylSd,VinylSd,148000
377,Somerst,CemntBd,CmentBd,340000
378,StoneBr,VinylSd,VinylSd,394432
379,Gilbert,VinylSd,VinylSd,179000
380,SWISU,BrkFace,Wd Sdng,127000
381,Somerst,VinylSd,VinylSd,187750
382,CollgCr,VinylSd,VinylSd,213500
383,SawyerW,Wd Sdng,Wd Sdng,76000
384,ClearCr,HdBoard,HdBoard,240000
385,Blmngtn,VinylSd,VinylSd,192000
386,Edwards,Wd Sdng,VinylSd,81000
387,Edwards,MetalSd,MetalSd,125000
388,CollgCr,VinylSd,VinylSd,191000
389,NridgHt,VinylSd,VinylSd,426000
390,Edwards,MetalSd,MetalSd,119000
391,Mitchel,VinylSd,VinylSd,215000
392,NAmes,MetalSd,MetalSd,106500
393,BrkSide,WdShing,Wd Shng,100000
394,OldTown,MetalSd,MetalSd,109000
395,Edwards,Wd Sdng,Wd Sdng,129000
396,CollgCr,MetalSd,MetalSd,123000
397,NAmes,VinylSd,VinylSd,169500
398,IDOTRR,MetalSd,MetalSd,67000
399,Somerst,CemntBd,CmentBd,241000
400,Veenker,BrkFace,BrkFace,245500
401,CollgCr,VinylSd,VinylSd,164990
402,Sawyer,Wd Sdng,Wd Sdng,108000
403,NoRidge,VinylSd,VinylSd,258000
404,Gilbert,MetalSd,MetalSd,168000
405,Sawyer,Plywood,Plywood,150000
406,SWISU,MetalSd,MetalSd,115000
407,Crawfor,Wd Sdng,Plywood,177000
408,NridgHt,VinylSd,VinylSd,280000
409,Somerst,VinylSd,VinylSd,339750
410,Edwards,BrkComm,Brk Cmn,60000
411,Gilbert,Wd Sdng,Wd Sdng,145000
412,Somerst,MetalSd,MetalSd,222000
413,OldTown,WdShing,Wd Shng,115000
414,SawyerW,VinylSd,VinylSd,228000
415,Gilbert,VinylSd,VinylSd,181134
416,Sawyer,HdBoard,HdBoard,149500
417,Crawfor,Wd Sdng,Stucco,239000
418,Edwards,MetalSd,MetalSd,126000
419,NAmes,VinylSd,VinylSd,142000
420,Mitchel,VinylSd,VinylSd,206300
421,NWAmes,CemntBd,CmentBd,215000
422,Mitchel,HdBoard,HdBoard,113000
423,NoRidge,VinylSd,VinylSd,315000
424,NAmes,Wd Sdng,Wd Sdng,139000
425,OldTown,HdBoard,HdBoard,135000
426,SawyerW,Wd Sdng,Wd Sdng,275000
427,NAmes,MetalSd,MetalSd,109008
428,CollgCr,VinylSd,VinylSd,195400
429,Timber,HdBoard,HdBoard,175000
430,BrDale,HdBoard,HdBoard,85400
431,OldTown,MetalSd,MetalSd,79900
432,BrDale,HdBoard,HdBoard,122500
433,Gilbert,VinylSd,VinylSd,181000
434,MeadowV,CemntBd,CmentBd,81000
435,CollgCr,VinylSd,VinylSd,212000
436,OldTown,Stucco,Stucco,116000
437,BrkSide,Wd Sdng,Wd Sdng,119000
438,Crawfor,WdShing,Stucco,90350
439,Edwards,Wd Sdng,Wd Sdng,110000
440,NridgHt,VinylSd,VinylSd,555000
441,Edwards,VinylSd,VinylSd,118000
442,BrkSide,MetalSd,MetalSd,162900
443,Blmngtn,WdShing,Wd Shng,172500
444,CollgCr,VinylSd,VinylSd,210000
445,Edwards,Wd Sdng,Wd Sdng,127500
446,NAmes,BrkFace,Plywood,190000
447,Gilbert,VinylSd,VinylSd,199900
448,IDOTRR,MetalSd,MetalSd,119500
449,OldTown,MetalSd,MetalSd,120000
450,OldTown,Wd Sdng,Wd Sdng,110000
451,ClearCr,Plywood,Plywood,280000
452,Timber,VinylSd,VinylSd,204000
453,Somerst,VinylSd,VinylSd,210000
454,Mitchel,Plywood,Plywood,188000
455,NWAmes,HdBoard,HdBoard,175500
456,OldTown,AsbShng,AsbShng,98000
457,ClearCr,Plywood,Plywood,256000
458,OldTown,Stucco,Wd Shng,161000
459,BrkSide,MetalSd,MetalSd,110000
460,Somerst,VinylSd,VinylSd,263435
461,SWISU,Wd Sdng,Wd Sdng,155000
462,Sawyer,MetalSd,MetalSd,62383
463,Crawfor,Stucco,Stucco,188700
464,CollgCr,HdBoard,HdBoard,124000
465,Blmngtn,VinylSd,VinylSd,178740
466,NAmes,Plywood,Plywood,167000
467,NAmes,MetalSd,MetalSd,146500
468,NridgHt,VinylSd,VinylSd,250000
469,SawyerW,HdBoard,HdBoard,187000
470,StoneBr,HdBoard,HdBoard,212000
471,NWAmes,WdShing,Plywood,190000
472,Edwards,VinylSd,VinylSd,148000
473,NridgHt,VinylSd,VinylSd,440000
474,StoneBr,CemntBd,CmentBd,251000
475,Sawyer,HdBoard,HdBoard,132500
476,CollgCr,VinylSd,VinylSd,208900
477,NridgHt,VinylSd,VinylSd,380000
478,CollgCr,VinylSd,VinylSd,297000
479,OldTown,Stucco,Stucco,89471
480,NridgHt,VinylSd,VinylSd,326000
481,NridgHt,VinylSd,VinylSd,374000
482,OldTown,Stucco,Stucco,155000
483,Mitchel,VinylSd,VinylSd,164000
484,Sawyer,HdBoard,Plywood,132500
485,NAmes,MetalSd,MetalSd,147000
486,NAmes,MetalSd,MetalSd,156000
487,NWAmes,Plywood,Plywood,175000
488,OldTown,Wd Sdng,Wd Sdng,160000
489,MeadowV,CemntBd,CmentBd,86000
490,MeadowV,CemntBd,CmentBd,115000
491,NAmes,Wd Sdng,Wd Sdng,133000
492,Gilbert,VinylSd,VinylSd,172785
493,NAmes,BrkFace,Wd Sdng,155000
494,OldTown,MetalSd,MetalSd,91300
495,IDOTRR,Wd Sdng,Wd Sdng,34900
496,NoRidge,BrkFace,BrkFace,430000
497,BrkSide,Wd Sdng,Wd Sdng,184000
498,Sawyer,HdBoard,HdBoard,130000
499,NAmes,MetalSd,MetalSd,120000
500,BrDale,HdBoard,HdBoard,113000
501,Somerst,VinylSd,VinylSd,226700
502,Edwards,MetalSd,MetalSd,140000
503,Crawfor,BrkFace,Wd Sdng,289000
504,NPkVill,Plywood,Brk Cmn,147000
505,OldTown,Wd Sdng,Wd Sdng,124500
506,SawyerW,VinylSd,VinylSd,215000
507,Somerst,VinylSd,VinylSd,208300
508,OldTown,MetalSd,MetalSd,161000
509,NAmes,MetalSd,MetalSd,124500
510,NAmes,Wd Sdng,Wd Sdng,164900
511,NridgHt,VinylSd,VinylSd,202665
512,NAmes,VinylSd,VinylSd,129900
513,Mitchel,VinylSd,VinylSd,134000
514,Crawfor,Wd Sdng,Wd Sdng,96500
515,NridgHt,CemntBd,CmentBd,402861
516,NWAmes,HdBoard,HdBoard,158000
517,NoRidge,VinylSd,VinylSd,265000
518,CollgCr,VinylSd,VinylSd,211000
519,Crawfor,MetalSd,MetalSd,234000
520,OldTown,MetalSd,MetalSd,106250
521,NAmes,VinylSd,VinylSd,150000
522,BrkSide,CemntBd,CmentBd,159000
523,Edwards,CemntBd,CmentBd,184750
524,NoRidge,VinylSd,VinylSd,315750
525,Somerst,VinylSd,VinylSd,176000
526,NAmes,Wd Sdng,Wd Sdng,132000
527,NridgHt,VinylSd,VinylSd,446261
528,Edwards,Wd Sdng,Wd Sdng,86000
529,Crawfor,Wd Sdng,Stone,200624
530,Timber,HdBoard,HdBoard,175000
531,BrkSide,Wd Sdng,Wd Sdng,128000
532,NAmes,VinylSd,VinylSd,107500
533,BrkSide,VinylSd,VinylSd,39300
534,Gilbert,VinylSd,VinylSd,178000
535,Edwards,MetalSd,MetalSd,107500
536,CollgCr,VinylSd,VinylSd,188000
537,NAmes,MetalSd,MetalSd,111250
538,Sawyer,Plywood,Plywood,158000
539,CollgCr,VinylSd,VinylSd,272000
540,Timber,VinylSd,VinylSd,315000
541,NoRidge,VinylSd,VinylSd,248000
542,NWAmes,VinylSd,VinylSd,213250
543,NAmes,MetalSd,MetalSd,133000
544,Gilbert,VinylSd,VinylSd,179665
545,NWAmes,HdBoard,HdBoard,229000
546,BrkSide,BrkFace,Wd Sdng,210000
547,Mitchel,VinylSd,VinylSd,129500
548,OldTown,MetalSd,MetalSd,125000
549,Somerst,VinylSd,VinylSd,263000
550,NPkVill,Plywood,Plywood,140000
551,OldTown,BrkFace,BrkFace,112500
552,NridgHt,VinylSd,VinylSd,255500
553,Edwards,VinylSd,VinylSd,108000
554,NridgHt,VinylSd,VinylSd,284000
555,BrkSide,MetalSd,MetalSd,113000
556,NAmes,Wd Sdng,Wd Sdng,141000
557,IDOTRR,MetalSd,MetalSd,108000
558,Gilbert,HdBoard,HdBoard,175000
559,Blmngtn,VinylSd,VinylSd,234000
560,Sawyer,Wd Sdng,Wd Sdng,121500
561,Mitchel,HdBoard,HdBoard,170000
562,Edwards,WdShing,Wd Shng,108000
563,Edwards,Wd Sdng,Wd Sdng,185000
564,NoRidge,HdBoard,HdBoard,268000
565,SWISU,Wd Sdng,Wd Sdng,128000
566,StoneBr,VinylSd,VinylSd,325000
567,NridgHt,VinylSd,VinylSd,214000
568,SawyerW,Wd Sdng,Wd Sdng,316600
569,NAmes,MetalSd,MetalSd,135960
570,NAmes,HdBoard,HdBoard,142600
571,NAmes,WdShing,Wd Shng,120000
572,Timber,VinylSd,VinylSd,224500
573,Gilbert,VinylSd,VinylSd,170000
574,NAmes,MetalSd,AsphShn,139000
575,NAmes,MetalSd,MetalSd,118500
576,SWISU,Wd Sdng,Wd Sdng,145000
577,Sawyer,VinylSd,VinylSd,164500
578,Somerst,VinylSd,VinylSd,146000
579,OldTown,MetalSd,MetalSd,131500
580,NAmes,Wd Sdng,Wd Sdng,181900
581,NridgHt,VinylSd,VinylSd,253293
582,Edwards,HdBoard,HdBoard,118500
583,OldTown,Wd Sdng,Wd Sdng,325000
584,BrkSide,AsbShng,AsbShng,133000
585,Timber,VinylSd,VinylSd,369900
586,BrkSide,Stucco,Wd Shng,130000
587,Sawyer,HdBoard,HdBoard,137000
588,ClearCr,Wd Sdng,Wd Sdng,143000
589,BrkSide,VinylSd,VinylSd,79500
590,CollgCr,VinylSd,VinylSd,185900
591,NridgHt,CemntBd,CmentBd,451950
592,Mitchel,HdBoard,HdBoard,138000
593,CollgCr,VinylSd,VinylSd,140000
594,CollgCr,HdBoard,HdBoard,110000
595,StoneBr,VinylSd,Other,319000
596,OldTown,VinylSd,VinylSd,114504
597,Blmngtn,VinylSd,VinylSd,194201
598,Crawfor,Plywood,Plywood,217500
599,Blueste,MetalSd,MetalSd,151000
600,NridgHt,VinylSd,VinylSd,275000
601,IDOTRR,Wd Sdng,Wd Sdng,141000
602,SawyerW,HdBoard,HdBoard,220000
603,Somerst,MetalSd,MetalSd,151000
604,CollgCr,VinylSd,VinylSd,221000
